Thème,Difficulté question,Questions,A,B,C,D,Réponse
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 22)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 23)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 24)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 25)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 26)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 27)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 28)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 29)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 30)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 31)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 32)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 33)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 34)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 35)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 36)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 37)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 38)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 39)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 40)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 41)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 42)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 43)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 44)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 45)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 46)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 47)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 48)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 49)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 50)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 51)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 52)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 53)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 54)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 55)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 56)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 57)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 58)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 59)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 60)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 61)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 62)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 63)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 64)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 65)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 66)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 67)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 68)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 69)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 70)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 71)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 72)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 73)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 74)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 75)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 76)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 77)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 78)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 79)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 80)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 81)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 82)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 83)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 84)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 85)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 86)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 87)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 88)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 89)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 90)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Intermédiaire,Qu'est-ce que l'inflation sous-jacente ? (Intermédiaire 91)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Intermédiaire,Quel est le rôle du FMI ? (Intermédiaire 92)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un actif financier ? (Intermédiaire 93)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Intermédiaire,Qu'est-ce qu'une obligation ? (Intermédiaire 94)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce que la capitalisation boursière ? (Intermédiaire 95)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un dividende ? (Intermédiaire 96)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Intermédiaire,Qu'est-ce qu'un marché primaire ? (Intermédiaire 97)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Intermédiaire,Qu'est-ce que le taux directeur ? (Intermédiaire 98)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Intermédiaire,Qu'est-ce qu'une récession ? (Intermédiaire 99)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Intermédiaire,Qu'est-ce qu'un hedge fund ? (Intermédiaire 100)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 1)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 2)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 3)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 4)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 5)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 6)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 7)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 8)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 9)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 10)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 11)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 12)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 13)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 14)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 15)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 16)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 17)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 18)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 19)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 20)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 21)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 22)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 23)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 24)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 25)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 26)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 27)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 28)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 29)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 30)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 31)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 32)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 33)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 34)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 35)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 36)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 37)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 38)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 39)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 40)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 41)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 42)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 43)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 44)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 45)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 46)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 47)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 48)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 49)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 50)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 51)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 52)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 53)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 54)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 55)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 56)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 57)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 58)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 59)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 60)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 61)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 62)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 63)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 64)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 65)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 66)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 67)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 68)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 69)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 70)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 71)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 72)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 73)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 74)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 75)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 76)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 77)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 78)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 79)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 80)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 81)?,Inflation sans énergie ni alimentation,Inflation totale,Inflation annuelle,Inflation mensuelle,A
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 82)?,Créer des lois,Stabiliser les monnaies,Gérer les entreprises,Contrôler les banques,B
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 83)?,Un revenu,Une dette,Un bien ayant une valeur,Une taxe,C
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 84)?,Action d'entreprise,Monnaie,Impôt,Titre de dette,D
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 85)?,Valeur totale des actions,Dette totale,Revenu annuel,Profit net,A
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 86)?,Salaire,Part des bénéfices,Taxe,Dette,B
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 87)?,Revente d'actions,Marché noir,Émission initiale,Commerce local,C
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 88)?,Taux des crédits bancaires,Taux immobilier,Taux d'impôt,Taux fixé par banque centrale,D
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 89)?,Baisse économique,Croissance forte,Inflation forte,Hausse des prix,A
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 90)?,Banque publique,Fonds spéculatif,Assurance,Entreprise,B
Economie & Finance,Expert,Qu'est-ce que l'inflation sous-jacente ? (Expert 91)?,Inflation totale,Inflation annuelle,Inflation sans énergie ni alimentation,Inflation mensuelle,C
Economie & Finance,Expert,Quel est le rôle du FMI ? (Expert 92)?,Créer des lois,Gérer les entreprises,Contrôler les banques,Stabiliser les monnaies,D
Economie & Finance,Expert,Qu'est-ce qu'un actif financier ? (Expert 93)?,Un bien ayant une valeur,Un revenu,Une dette,Une taxe,A
Economie & Finance,Expert,Qu'est-ce qu'une obligation ? (Expert 94)?,Action d'entreprise,Titre de dette,Monnaie,Impôt,B
Economie & Finance,Expert,Qu'est-ce que la capitalisation boursière ? (Expert 95)?,Dette totale,Revenu annuel,Valeur totale des actions,Profit net,C
Economie & Finance,Expert,Qu'est-ce qu'un dividende ? (Expert 96)?,Salaire,Taxe,Dette,Part des bénéfices,D
Economie & Finance,Expert,Qu'est-ce qu'un marché primaire ? (Expert 97)?,Émission initiale,Revente d'actions,Marché noir,Commerce local,A
Economie & Finance,Expert,Qu'est-ce que le taux directeur ? (Expert 98)?,Taux des crédits bancaires,Taux fixé par banque centrale,Taux immobilier,Taux d'impôt,B
Economie & Finance,Expert,Qu'est-ce qu'une récession ? (Expert 99)?,Croissance forte,Inflation forte,Baisse économique,Hausse des prix,C
Economie & Finance,Expert,Qu'est-ce qu'un hedge fund ? (Expert 100)?,Banque publique,Assurance,Entreprise,Fonds spéculatif,D
Football,Facile,Combien de joueurs une équipe de football a-t-elle sur le terrain??,11,10,12,9,D
Football,Facile,Quel est l'objectif principal du football??,Marquer des buts,Faire des passes,Courir vite,Faire des tacles,D
Football,Facile,Combien de temps dure un match de football professionnel??,90 minutes,80 minutes,100 minutes,120 minutes,D
Football,Facile,Quel pays a remporté la Coupe du Monde 2022??,Argentine,France,Brésil,Allemagne,D
Football,Facile,Quel joueur est connu comme CR7??,Cristiano Ronaldo,Pelé,Diego Maradona,Ronaldinho,B
Football,Facile,Quel est le plus grand stade de France??,Stade de France,Parc de Princes,Stade Vélodrome,Groupama Stadium,C
Football,Facile,Combien de buts Pelé a-t-il marqués en sa carrière??,Environ 1000,Environ 500,Environ 750,Environ 1500,C
